Mural,Artist,Year,Latitude,Longitude,Photo,Photo_link
Naya Bihana,Martin Travers,2002,37.752296,-122.412473,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Naya%20Bihana.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Naya%20Bihana.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Naya%20Bihana.jpg'/></a
Five Sacred Colors of Corn,Susan Cervantes,1996,37.752433,-122.412412,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Five%20Sacred%20Colors%20of%20Corn.JPG,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Five%20Sacred%20Colors%20of%20Corn.JPG'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Five%20Sacred%20Colors%20of%20Corn.JPG'/></a
Dragons of Paradise,Precita Eyes Muralist,1998,37.75229,-122.412508,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Dragons%20of%20Paradise.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Dragons%20of%20Paradise.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Dragons%20of%20Paradise.jpg'/></a
Enrique's Journey,Josue Rojas,2013,37.752212,-122.412409,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Enriques%20Journey.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Enriques%20Journey.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Enriques%20Journey.jpg'/></a
Desaparecidos Pero No Olvidados,"Carlos Madriz, Mabel Negrette, Josh Short",1998,37.75201,-122.412471,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Desaparecidos.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Desaparecidos.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Desaparecidos.jpg'/></a
After the Storm,Tina Wolfe,2008,37.751879,-122.412462,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/After%20the%20Storm.jp,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/After%20the%20Storm.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/After%20the%20Storm.jpg'/></a>
The Missing Page from Where the Wild Things Are,Guarina Lopez,2003,37.752134,-122.412477,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Wild%20Things.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Wild%20Things.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Wild%20Things.jpg'/></a
Victorian,Sirron Norris,2007,37.752095,-122412396,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Victorian.JPG,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Victorian.JPG'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Victorian.JPG'/></a
Culture Contains the Seeds of Resistance,Miranda Bergman and O'Brian Thiele,1984,37.75195,-122.412392,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Seeds%20of%20Resistance.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Seeds%20of%20Resistance.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Seeds%20of%20Resistance.jpg'/></a
Untitled,Gabby Wolodarski,2012,37.751868,-122.412416,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Untitled.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Untitled.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Untitled.jpg'/></a
Untitled,Unknown,2010,37.751744,-122.412453,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Untitled2.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Untitled2.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Untitled2.jpg'/></a
The Moon and Venus,Fran Valesco,2001,37.75229,-122.412508,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/moon%20and%20venus.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/moon%20and%20venus.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/moon%20and%20venus.jpg'/></a
Father Richard  Purcell,Laura Campos,2012,37.751519,-122.412407,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Farther%20Rachard%20Purcell.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Farther%20Rachard%20Purcell.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Farther%20Rachard%20Purcell.jpg'/></a
Tributo a Mujeres Muralista,Precita Eyes Muralist,19995,37.751806,-122.412433,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Tributo%20a%20Mujeres%20Muralistas.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Tributo%20a%20Mujeres%20Muralistas.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Tributo%20a%20Mujeres%20Muralistas.jpg'/></a
Unknown2,Unknown,,37.751557,-122.412348,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/unknown2.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/unknown2.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/unknown2.jpg'/></a
La Virgencita,Patricia Rose,2000,37.751136,-122.412407,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/La%20Virgencita.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/La%20Virgencita.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/La%20Virgencita.jpg'/></a
Manjushri,Marta Ayala,2001,37.751132,-122.412399,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Manjushri.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Manjushri.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Manjushri.jpg'/></a
Coyolxauqui has Something to Say,Irene Perez,1972,27.751261,-122.412317,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Coyolxauqui.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Coyolxauqui.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Coyolxauqui.jpg'/></a
Icons of Mexican Art,Hector Escarraman,1995,37.752093,-122.412454,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Icons%20of%20Mexican%20Art.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Icons%20of%20Mexican%20Art.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Icons%20of%20Mexican%20Art.jpg'/></a
Epoca de oro del Cine Mejicano,Mary Nash,2000,37.751277,-122.412423,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Epoca%20de%20Oro.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Epoca%20de%20Oro.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Epoca%20de%20Oro.jpg'/></a
Archbishop Oscar Romero,Juana Alicia,2001,37.751352,-122.412402,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Archbishop%20Oscar%20Romero.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Archbishop%20Oscar%20Romero.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Archbishop%20Oscar%20Romero.jpg'/></a
Un Pasado que aun Vive,Joel Bergner,2004,37.751334,-122.412373,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Un%20Pasado%20que%20aun%20Vive.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Un%20Pasado%20que%20aun%20Vive.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Un%20Pasado%20que%20aun%20Vive.jpg'/></a
Those we Love we Remember,Edythe Boone,1995,37.751598,-122.412392,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Those%20we%20Love.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Those%20we%20Love.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Those%20we%20Love.jpg'/></a
Things Fall Apart,Janet Braun-Reinitz,2004,37.752053,-122.412431,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Things%20Fall%20Apart.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Things%20Fall%20Apart.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Things%20Fall%20Apart.jpg'/></a
Mission Makeover,Lucia Ippolito  and Tirso Araiza,2012,37.751633,-122.41244,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Mission%20Makeover.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Mission%20Makeover.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Mission%20Makeover.jpg'/></a
Indegenous Eyes,Susan Cervantes,1991,37.751588,-122.412423,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Indegenous%20Eyes.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Indegenous%20Eyes.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Indegenous%20Eyes.jpg'/></a
Lu the Wanderer,Carla Wojczuk,2011,37.751949,-122.412371,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Lu%20the%20Wanderer.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Lu%20the%20Wanderer.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Lu%20the%20Wanderer.jpg'/></a
Tribute to Archbishop Oscar Romero,Jamie Morgan,2001,37.752158,-122.412399,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Tribute%20to%20Oscar%20Romero.JPG,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Tribute%20to%20Oscar%20Romero.JPG'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/Tribute%20to%20Oscar%20Romero.JPG'/></a
Memorias Primas,Marta Ayala,2002,37.751209,-122.412307,https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/memorias%20primas.jpg,<a href='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/memorias%20primas.jpg'><img class='ImgSize' src='https://raw.githubusercontent.com/dikembe3000/balmy_alley_murals/master/memorias%20primas.jpg'/></a